location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
"Assissi Nagar, Aluva, Kerala",['Houses & Villas'],['2100'],['4'],['4'],['Furnished'],['Ready to Move'],,['East'],"₹ 85,00,000"
"Mumbra, Thane, Maharashtra",['Apartments'],['650'],['1'],['1'],['Unfurnished'],['Ready to Move'],['16'],['South-East'],"₹ 42,00,000"
"Khatibaba Mohalla, Jhansi, Uttar Pradesh",['Houses & Villas'],['1800'],['4'],['2'],['Semi-Furnished'],['Ready to Move'],['0'],['North'],"₹ 60,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1602'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,['North'],"₹ 49,99,999"
"Nedumbassery, Kochi, Kerala",['Houses & Villas'],['2000'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 60,00,000"
"Vasai East, Mumbai, Maharashtra",['Apartments'],['650'],['1'],['2'],['Semi-Furnished'],['Ready to Move'],['0'],['East'],"₹ 33,00,000"
"Nedumbassery, Kochi, Kerala",['Houses & Villas'],['2400'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 1,40,00,000"
"Vattiyoorkavu, Thiruvananthapuram, Kerala",['Houses & Villas'],['2200'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 70,00,000"
"Barasat- Barrackpore Road, Kolkata, West Bengal",['Apartments'],['1070'],['3'],['2'],['Furnished'],['Ready to Move'],['2'],['North-West'],"₹ 32,00,000"
"Kausa, Thane, Maharashtra",['Builder Floors'],['856'],['2'],['2'],['Unfurnished'],['New Launch'],['3'],['North-West'],"₹ 41,20,000"
"PHI IV, Greater Noida, Uttar Pradesh",['Builder Floors'],['433'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 9,98,000"
"Chattarpur, Delhi, Delhi",['Builder Floors'],['750'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 23,00,000"
"Edappally, Kochi, Kerala",['Apartments'],['591'],['1'],['1'],['Unfurnished'],['Under Construction'],['3'],['East'],"₹ 28,50,000"
"Varapuzha, Kochi, Kerala",['Houses & Villas'],['900'],['2'],['2'],['Furnished'],['Ready to Move'],,,"₹ 42,00,000"
"Rajendra Park, Gurgaon, Haryana",['Builder Floors'],['700'],['2'],['2'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 20,00,000"
"Madhu Vihar, Delhi, Delhi",['Builder Floors'],['1000'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['North'],"₹ 55,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['2400'],['4'],['4'],['Furnished'],['Ready to Move'],,,"₹ 85,00,000"
"Annakudu, Thodupuzha, Kerala",['Houses & Villas'],['1400'],['3'],['3'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 46,00,000"
"HMT Swarnapuri Colony, Hyderabad, Telangana",['Apartments'],['600'],['1'],['1'],['Furnished'],['Ready to Move'],['3'],['East'],"₹ 20,50,000"
"Alangad, Kadungalloor, Kerala",['Houses & Villas'],['925'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],,,"₹ 31,00,000"
"Chattarpur, Delhi, Delhi",['Builder Floors'],['1000'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['4'],['West'],"₹ 50,00,000"
"Annakudu, Thodupuzha, Kerala",['Houses & Villas'],['1400'],['3'],['3'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 55,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1100'],['3'],['3'],['Furnished'],['Ready to Move'],,['East'],"₹ 40,00,000"
"Ramavarappadu, Vijayawada, Andhra Pradesh",['Apartments'],['550'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['2'],['West'],"₹ 16,10,000"
"Rajendra Park, Gurgaon, Haryana",['Builder Floors'],['950'],['3'],['2'],['Furnished'],['Ready to Move'],['1'],['North'],"₹ 32,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1000'],['3'],['3'],['Furnished'],['Ready to Move'],,['East'],"₹ 37,00,000"
"Movathapuzha, Thodupuzha, Kerala",['Houses & Villas'],['2600'],['4'],['3'],['Furnished'],['Ready to Move'],['3'],['East'],"₹ 95,00,000"
"Nungambakkam Haddows, Chennai, Tamil Nadu",['Houses & Villas'],['5700'],['4'],['4'],['Unfurnished'],['Ready to Move'],['2'],['West'],"₹ 24,00,00,000"
"Mumbai Central, Mumbai, Maharashtra",['Apartments'],['1400'],['2'],['3'],['Furnished'],['Ready to Move'],['12'],['West'],"₹ 3,19,00,000"
"Central Secretariat, Delhi, Delhi",['Apartments'],['1045'],['2'],['2'],['Unfurnished'],['Under Construction'],['5'],['East'],"₹ 38,14,000"
"Virar East, Mumbai, Maharashtra",['Apartments'],['455'],,['1'],['Unfurnished'],['Ready to Move'],['1'],,"₹ 20,50,000"
"Annakudu, Thodupuzha, Kerala",['Houses & Villas'],['1500'],['4'],['4'],['Furnished'],['Ready to Move'],['2'],['East'],"₹ 35,00,000"
"Karapalli, Hosur, Tamil Nadu",['Houses & Villas'],['1600'],['3'],['3'],['Unfurnished'],['Under Construction'],['12'],['North-East'],"₹ 55,00,000"
"Kakkodi, Kozhikode, Kerala",['Houses & Villas'],['2000'],['4'],['4'],['Unfurnished'],['Under Construction'],['2'],,"₹ 62,00,000"
