location,house_type,sqft,bedrooms,furnishing,constr_info,floor_no,facing,price
 Kerala,Houses & Villas,1500.0,3.0,Semi-Furnished,Ready to Move,,,4100000.0
 Tamil Nadu,Apartments,900.0,2.0,Unfurnished,Ready to Move,1.0,East,2950000.0
 Kerala,Houses & Villas,1000.0,3.0,Semi-Furnished,Ready to Move,,,3700000.0
 Kerala,Houses & Villas,1735.0,4.0,Furnished,Ready to Move,,,6000000.0
 Kerala,Apartments,1050.0,2.0,Unfurnished,Ready to Move,8.0,East,3700000.0
 West Bengal,Builder Floors,835.0,2.0,Unfurnished,Ready to Move,4.0,East,2200000.0
 Delhi,Builder Floors,370.0,1.0,Semi-Furnished,Ready to Move,2.0,East,1450000.0
 Punjab,Apartments,4276.0,4.0,Semi-Furnished,Ready to Move,5.0,North,27000000.0
 Kerala,Houses & Villas,3000.0,4.0,Furnished,Ready to Move,,,35000000.0
 Kerala,Houses & Villas,2600.0,4.0,Semi-Furnished,Ready to Move,,,8200000.0
 Telangana,Houses & Villas,2700.0,4.0,Unfurnished,Ready to Move,1.0,East,40000.0
 Kerala,Houses & Villas,1399.0,3.0,Furnished,Ready to Move,,,5500000.0
 Kerala,Houses & Villas,1850.0,3.0,Furnished,Ready to Move,,,7300000.0
 Kerala,Houses & Villas,1441.0,3.0,Furnished,Ready to Move,,,4499999.0
 Chhattisgarh,Houses & Villas,500.0,2.0,Unfurnished,Ready to Move,1.0,North,1800000.0
 Kerala,Houses & Villas,900.0,2.0,Furnished,Ready to Move,,,4000000.0
 Rajasthan,Apartments,900.0,2.0,Semi-Furnished,Ready to Move,1.0,East,2096666.0
 Kerala,Houses & Villas,1500.0,3.0,Furnished,,,,400000.0
,,,,,,,,
 Kerala,Apartments,1900.0,3.0,Furnished,Ready to Move,,,5500000.0
 Kerala,Houses & Villas,1800.0,3.0,Furnished,Ready to Move,,,6500000.0
 Kerala,Houses & Villas,1850.0,4.0,Furnished,Ready to Move,,,6100000.0
 Karnataka,Apartments,1123.0,2.0,Semi-Furnished,Ready to Move,1.0,West,6322110.0
 Kerala,Houses & Villas,1080.0,2.0,Unfurnished,New Launch,,East,3450000.0
 Uttar Pradesh,Houses & Villas,1700.0,4.0,Semi-Furnished,Under Construction,,East,4100000.0
 Karnataka,Apartments,940.0,2.0,Unfurnished,Ready to Move,3.0,North,3955000.0
 Kerala,Houses & Villas,2950.0,4.0,Furnished,Ready to Move,,East,20000000.0
 Kerala,Houses & Villas,1800.0,3.0,Furnished,Ready to Move,0.0,East,7800000.0
 Kerala,Houses & Villas,1250.0,3.0,Semi-Furnished,Ready to Move,,North,5500000.0
 Tamil Nadu,Houses & Villas,1150.0,2.0,Furnished,Ready to Move,1.0,East,3300000.0
 Chhattisgarh,Builder Floors,800.0,2.0,Unfurnished,Ready to Move,1.0,West,2350000.0
 Kerala,Houses & Villas,2400.0,4.0,Furnished,Ready to Move,,,12000000.0
 Kerala,Houses & Villas,1800.0,4.0,Semi-Furnished,Ready to Move,,,5300000.0
 Tamil Nadu,Houses & Villas,1000.0,2.0,Semi-Furnished,New Launch,1.0,North,2500000.0
 Punjab,Builder Floors,990.0,2.0,Semi-Furnished,Ready to Move,2.0,North-East,2750000.0
 Maharashtra,Apartments,1210.0,3.0,Semi-Furnished,Ready to Move,,,24000000.0
 Tamil Nadu,Houses & Villas,1150.0,2.0,Furnished,Ready to Move,1.0,North,3200000.0
 Haryana,Houses & Villas,2000.0,4.0,Furnished,Ready to Move,1.0,East,8000000.0
